UserId,ProductId,Rating,Timestamp
A6RT17MZ6V33Z,B001KZE4WO,5.0,1362960000
A1MOB1RSY29VCG,B004HZAGMQ,3.0,1397433600
A14Y4J7M52C7R9,B0030O3VRW,4.0,1390953600
A3PFXH2L0LT4WH,B00G36TJKW,5.0,1400025600
A2G9N4L2NMU3BW,B000XJ0PG2,4.0,1399248000
A3G16VTH178I3T,B001F51TDG,5.0,1289433600
A3GDS8533MUXQH,B000OFB5QO,4.0,1347148800
A2Q3BW3177V542,B0009R33U8,4.0,1373241600
ALY07C65HE7A3,B000PI36W6,4.0,1335571200
A3J9IHIVSCW1B3,B0030HAF4G,5.0,1394323200
A2KKNNK6UD925U,B000PB2XHM,5.0,1358121600
AOMA5180T22UG,B0045F6J9M,5.0,1381104000
ABEB87RRDZAJ1,B004GFB0X6,5.0,1375142400
A8AC8OJNS8BFX,B00F138GCK,5.0,1402704000
A9XU81AKNDQOQ,B003TP2M9A,3.0,1363564800
AQ7K3NCX0P22,B000L9FBTA,4.0,1362614400
A1UA6HLA78GX4E,B000V09TVK,1.0,1345680000
A3DHSSP8I6WMJR,B00ALHISAQ,2.0,1389312000
A32XCONWP97JW0,B000BD0NQM,1.0,1351728000
AXPVYPQQWG2YJ,B0012RWP9Y,4.0,1366934400
A8MHFH0GWKRH,B000G2OFCQ,5.0,1224028800
AUBBS46R3HVPD,B002XQ1TL8,5.0,1400112000
A3UE63S829MUZU,B00B33W754,5.0,1404950400
A1GN5RWUI646C2,B008U4DUGO,4.0,1372377600
A3MSDBAJPCFUHC,B00A4CQAQ2,5.0,1359763200
A2162SEG2QPT9U,B004GCAJMM,5.0,1393545600
AZQ45INMWW162,B001MA0QY2,5.0,1342742400
A36YDEUBQKKP4L,B004FQKZVO,3.0,1401148800
A3S7AA4Q3SMRWU,B0027EJD0K,5.0,1321401600
A20IDF4YZGEZVV,B0047ETXD0,5.0,1236211200
A3G9SJGW0HT4UR,B0006GDAU0,5.0,1372291200
A2Q0Z7VSWRSBBH,B000NHXGNI,5.0,1390694400
A1XRRBPR1YUMMW,B00ATWDTIE,1.0,1389830400
A3H6IYJF499Z7G,B001E53M8C,5.0,1404864000
A2FD95AFDTD91F,B0061O0B9O,5.0,1399420800
AK7V4D8DZNN2N,B003TMO3EU,4.0,1361059200
A3B4IPIM0DF304,B004H4VQ4Y,3.0,1370995200
A1IDQGGR1BYLUR,B005OAYNAY,5.0,1320710400
A32HUGFLJVLQ8A,B006EK7Q48,5.0,1348099200
A15RT1XQP96O3V,B004V4I1HK,5.0,1326067200
A2C34D1AJKG010,B007Q22HMY,5.0,1360540800
A237GL25MNTYOC,B000Z65HCU,3.0,1351814400
A16GSDLBKPJCND,B001HKC9ZQ,5.0,1347408000
A1U2UQUL4KVV59,B004P2JGW2,5.0,1312416000
A3RXSYE2XJQRWW,B0013FU218,5.0,1336694400
A1WVLAXTOKGV3Q,B003XK9DBQ,5.0,1404604800
A1ZHHWZSW472I8,B004PYWD7A,5.0,1405209600
A106NUEOA1N5ZF,B007TQBGCY,5.0,1388448000
ASP19JN7VH4CE,B0036QQWAC,5.0,1366934400
A8JGWGY1Z8P46,B00106M02Y,4.0,1357257600
AY6AKMFQAEM3V,B006IBM21K,5.0,1372291200
